prompt_style,variant,n,primary_n,primary_rate,wilson_low,wilson_high,strict_n,confirmed_n,interaction_confirmed_n,median_iterations,min_iterations,max_iterations,total_iterations
Archived Claude brief,named,20,14,0.7,0.4810271816464765,0.8545227551323956,14,14,7,9.5,7,25,211
Archived Claude brief,anonymized,20,3,0.15,0.052368745896216595,0.36041886474075696,3,3,1,9.5,7,18,206
Structured v2 (prior),named,20,4,0.2,0.08065766257979806,0.41601743225189364,4,4,3,25.0,25,25,500
Structured v2 (prior),anonymized,20,4,0.2,0.08065766257979806,0.41601743225189364,4,4,2,25.0,25,25,500
