llm,harness,cost_basis,workflow,condition,runs_attempted,runs_completed,completed_runs_with_cost,total_known_cost_usd,mean_cost_per_completed_run_usd,median_cost_per_completed_run_usd,input_tokens,output_tokens,cached_input_tokens,gpu_kwh,reported_missing_token_calls,unaccounted_infrastructure_attempts
gpt-5.6-luna,Codex,Standard API,sequential,expected-masked,10,9,9,5.614639480000001,0.5659599422222222,0.5653052000000001,23832557,716143,62464,0,24,2
gpt-5.6-luna,Codex,Standard API,sequential,surprising-unmasked,10,10,10,6.846811840000001,0.684681184,0.6892186000000001,28856942,911431,101632,0,0,0
gpt-5.6-luna,Codex,Standard API,sequential,surprising-masked,10,10,10,5.64610588,0.564610588,0.55973234,23985125,717321,65024,0,11,3
gpt-5.6-luna,Codex,Standard API,deliberative,expected-unmasked,10,10,10,17.40557432,1.7405574320000001,1.7538869000000001,72416776,2492629,382976,0,0,3
gpt-5.6-luna,Codex,Standard API,deliberative,expected-masked,10,10,10,16.169818080000002,1.6169818080000002,1.6230016000000003,67761354,2220611,262144,0,14,6
gpt-5.6-luna,Codex,Standard API,deliberative,surprising-unmasked,10,9,9,18.14203656,1.8083246800000001,1.79996908,75441666,2589412,297728,0,0,0
gpt-5.6-luna,Codex,Standard API,deliberative,surprising-masked,10,9,9,16.52490548,1.6667887111111113,1.64264336,69344347,2258829,303104,0,8,7
claude-opus-5,Custom runner,Standard API,persistent,expected-unmasked,5,5,5,234.8672,46.973440000000004,46.63037,38654815,1663725,0,0,0,0
claude-opus-5,Custom runner,Standard API,persistent,expected-masked,5,5,5,231.427315,46.285463,45.89617,38388853,1579322,0,0,1,0
claude-opus-5,Custom runner,Standard API,persistent,surprising-unmasked,5,5,5,232.70156,46.540312,46.48921,38298927,1648277,0,0,0,0
claude-opus-5,Custom runner,Standard API,persistent,surprising-masked,5,5,5,227.600695,45.520139,45.35628,37750624,1553903,0,0,0,0
claude-opus-5,Custom runner,Standard API,sequential,expected-unmasked,5,4,4,193.483135,39.04706625,39.21937,30716802,1595965,0,0,0,0
claude-opus-5,Custom runner,Standard API,sequential,expected-masked,5,5,5,189.86796,37.973592000000004,36.92385,30549172,1484884,0,0,0,0
claude-opus-5,Custom runner,Standard API,sequential,surprising-unmasked,5,5,5,190.39305,38.07861,37.567725,30336165,1548489,0,0,0,0
claude-opus-5,Custom runner,Standard API,sequential,surprising-masked,5,5,5,178.374255,35.674851,35.918015,28357921,1463386,0,0,0,0
claude-opus-5,Custom runner,Standard API,deliberative,expected-unmasked,5,4,4,681.7938,137.94705125000002,137.6811775,105695695,6132613,0,0,0,0
claude-opus-5,Custom runner,Standard API,deliberative,expected-masked,5,5,5,696.79888,139.359776,140.99492,108884111,6095133,0,0,2,0
claude-opus-5,Custom runner,Standard API,deliberative,surprising-unmasked,5,5,5,679.67722,135.935444,136.32859,105479389,6091211,0,0,1,0
claude-opus-5,Custom runner,Standard API,deliberative,surprising-masked,5,4,4,670.25996,134.41497125,134.3079375,104119697,5986459,0,0,1,0
