metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,expected-unmasked,expected-unmasked_ci95_low,expected-unmasked_ci95_high,expected-masked,expected-masked_ci95_low,expected-masked_ci95_high,surprising-unmasked,surprising-unmasked_ci95_low,surprising-unmasked_ci95_high,surprising-masked,surprising-masked_ci95_low,surprising-masked_ci95_high
Precision (%),gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,97.70092404778003,95.12576064908723,99.65517241379311,93.07143430654449,89.98777327000974,96.1798577183851,93.5046134844522,89.45582697987652,97.07494484280198,93.50993136718289,89.70138211414834,97.22818533543685
Precision (%),gpt-6-astra,Codex,sequential,medium,40,39,1,80126,97.5080160371719,95.55889197041482,98.9756364549042,94.75082144151345,92.22017642107288,96.91669327964202,95.9169541189125,93.47232510451605,98.24197120708749,88.74751676035784,83.06610601193462,94.11480000226794
Precision (%),gpt-6-astra,Codex,deliberative,medium,40,40,0,255276.0,99.03565101176586,98.13462342741089,99.82456140350877,94.78082380420194,91.96088268129473,97.43954702461423,99.31337783340287,98.61006814073146,100.0,93.83554648274404,88.69700332963374,98.27380952380952
Precision (%),gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,95.69027032917973,94.58542088900339,96.7815076030412,96.04836412315672,94.42057250866634,97.72330100640968,91.40845621106246,87.06787462761362,95.33623969216389,93.15838886873146,87.85623590644981,96.99569927868696
Precision (%),gpt-5.6-sol,Codex,sequential,medium,40,40,0,176867.5,93.38438389114133,91.5819683050571,95.04308805513573,94.90661053517161,92.11282743153286,97.00114477590549,90.2138733476574,86.52082636780241,93.52606290908128,88.65485599333327,82.6212905028801,93.8228719313356
Precision (%),gpt-5.6-sol,Codex,deliberative,medium,40,38,2,547345.5,93.0951499777625,89.52320869458505,96.2197697258268,93.83134852591314,90.52360949323395,96.47109390817626,89.09707098316137,85.12344507617603,92.65711204687138,92.18865700045811,86.03138175962766,97.21778199374849
Precision (%),gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,97.61752136752136,95.63034188034187,99.44444444444444,98.44267934623558,97.49640833556006,99.33491138059702,97.04940754005409,94.79253393665158,98.77717869209052,97.81922525107603,93.7015781922525,100.0
Precision (%),gpt-5.6-terra,Codex,sequential,medium,40,39,1,58512,93.54504052139626,90.76230613165846,96.42351403823177,99.0625,97.1875,100.0,94.36625951078413,91.23259094196064,97.1405520970886,97.7432712215321,94.53416149068323,100.0
Precision (%),gpt-5.6-terra,Codex,deliberative,medium,40,39,1,160931,95.723520139281,92.79114906832298,98.33415678524375,99.76190476190476,99.28571428571428,100.0,91.11548987411057,78.82539682539682,98.57142857142857,91.58461538461539,79.96923076923076,100.0
Precision (%),gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,59.45575559610647,36.918796755145436,78.49499185902695,91.89341799569965,81.9224256712488,98.22663984760759,72.24447450570278,64.08027070041871,80.15004531930043,85.23722190932132,73.6501572327044,95.79912935323382
Precision (%),gpt-5.6-luna,Codex,sequential,medium,40,39,1,79146,76.16343553998257,62.903770231933905,86.79981882116782,89.34198946290392,83.07408489632655,95.10767019366912,58.22154312388072,40.90283130847647,72.46355996944233,80.80001659201167,61.789506331923064,95.86931338703491
Precision (%),gpt-5.6-luna,Codex,deliberative,medium,40,38,2,237172.5,60.90439178127025,41.215822031772696,78.80982141787402,90.50019740334527,84.04508474936797,96.09605844191245,67.74918572863318,56.232134680063425,78.05600657820982,90.04562213684055,82.35918159819713,96.72043520023645
Precision (%),claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,92.46915966416708,86.15247219290413,98.41224565093414,93.88487318209175,89.38541857483055,98.38432778935294,93.5116164597504,89.79631296120124,97.22691995829955,91.9311552494754,82.40215455066337,98.25121115443696
Precision (%),claude-opus-5,Custom runner,sequential,medium,20,19,1,309733,97.98115609880315,95.79220779220779,99.76470588235294,93.77532338004586,91.09982379742613,96.4508229626656,94.41729118777563,90.59145032207691,97.8371623570124,92.89216247139588,86.38672768878719,96.82780320366132
Precision (%),claude-opus-5,Custom runner,deliberative,medium,20,18,2,1222954.0,97.21185181861904,95.38106874031119,98.89379779099406,96.50324669672545,94.62089375554896,98.5321100917431,93.32787642744208,86.53658536585367,97.68921337414488,94.62336724809997,89.95819397993311,98.391881342701
Precision (%),Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,97.6470588235294,92.94117647058825,100.0,97.41244646006551,93.46182917611489,100.0,95.5,89.0,100.0,99.5,98.5,100.0
Precision (%),Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,100.0,100.0,100.0,96.02564102564102,90.38461538461539,100.0,95.0,85.0,100.0,89.73809523809524,79.16666666666666,98.33928571428562
Precision (%),Inferact/Qwen3.8-27B-NVFP4,Custom runner,sequential,medium,40,40,0,265093.5,100.0,100.0,100.0,91.78571428571429,76.78571428571429,100.0,86.0,73.0,98.0,99.28571428571429,97.85714285714286,100.0
Precision (%),Inferact/Qwen3.8-27B-NVFP4,Custom runner,deliberative,medium,40,40,0,822696.5,100.0,100.0,100.0,94.88888888888889,86.88888888888889,100.0,100.0,100.0,100.0,99.5,98.5,100.0
Precision (%),RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,99.23076923076923,97.6923076923077,100.0,100.0,100.0,100.0,82.4193780076133,68.87362637362637,93.83753501400561,99.33333333333333,98.0,100.0
